Despacito (Featuring Daddy Yankee),4,2017-02-03,Luis Fonsi,Global,top200,3897590
Castle on the Hill,5,2017-02-03,Ed Sheeran,Global,top200,3449821
Shape of You,1,2017-02-04,Ed Sheeran,Global,top200,7740851
Paris,2,2017-02-04,The Chainsmokers,Global,top200,4159115
Despacito (Featuring Daddy Yankee),3,2017-02-04,Luis Fonsi,Global,top200,3986228
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",4,2017-02-04,"ZAYN, Taylor Swift",Global,top200,3928796
Rockabye (feat. Sean Paul & Anne-Marie),5,2017-02-04,Clean Bandit,Global,top200,3413630
Shape of You,1,2017-02-05,Ed Sheeran,Global,top200,6968082
Paris,2,2017-02-05,The Chainsmokers,Global,top200,3731405
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-05,"ZAYN, Taylor Swift",Global,top200,3563966
Despacito (Featuring Daddy Yankee),4,2017-02-05,Luis Fonsi,Global,top200,3482709
Castle on the Hill,5,2017-02-05,Ed Sheeran,Global,top200,2988338
Shape of You,1,2017-02-06,Ed Sheeran,Global,top200,7138916
Paris,2,2017-02-06,The Chainsmokers,Global,top200,3792585
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-06,"ZAYN, Taylor Swift",Global,top200,3634652
Despacito (Featuring Daddy Yankee),4,2017-02-06,Luis Fonsi,Global,top200,3564587
Castle on the Hill,5,2017-02-06,Ed Sheeran,Global,top200,3101484
Shape of You,1,2017-02-07,Ed Sheeran,Global,top200,7458487
Paris,2,2017-02-07,The Chainsmokers,Global,top200,4009158
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-07,"ZAYN, Taylor Swift",Global,top200,3826728
Despacito (Featuring Daddy Yankee),4,2017-02-07,Luis Fonsi,Global,top200,3767920
Castle on the Hill,5,2017-02-07,Ed Sheeran,Global,top200,3171754
Shape of You,1,2017-02-08,Ed Sheeran,Global,top200,7557934
Paris,2,2017-02-08,The Chainsmokers,Global,top200,4083784
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-08,"ZAYN, Taylor Swift",Global,top200,3911713
Despacito (Featuring Daddy Yankee),4,2017-02-08,Luis Fonsi,Global,top200,3832930
Castle on the Hill,5,2017-02-08,Ed Sheeran,Global,top200,3198916
Shape of You,1,2017-02-09,Ed Sheeran,Global,top200,7473863
Paris,2,2017-02-09,The Chainsmokers,Global,top200,4004291
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-09,"ZAYN, Taylor Swift",Global,top200,3939004
Despacito (Featuring Daddy Yankee),4,2017-02-09,Luis Fonsi,Global,top200,3853485
Rockabye (feat. Sean Paul & Anne-Marie),5,2017-02-09,Clean Bandit,Global,top200,3122242
Shape of You,1,2017-02-10,Ed Sheeran,Global,top200,7783927
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-10,"ZAYN, Taylor Swift",Global,top200,4277593
Paris,3,2017-02-10,The Chainsmokers,Global,top200,4134250
Despacito (Featuring Daddy Yankee),4,2017-02-10,Luis Fonsi,Global,top200,4025870
Rockabye (feat. Sean Paul & Anne-Marie),5,2017-02-10,Clean Bandit,Global,top200,3248713
Shape of You,1,2017-02-11,Ed Sheeran,Global,top200,7714323
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-11,"ZAYN, Taylor Swift",Global,top200,4331920
Despacito (Featuring Daddy Yankee),3,2017-02-11,Luis Fonsi,Global,top200,4131487
Paris,4,2017-02-11,The Chainsmokers,Global,top200,4038157
Rockabye (feat. Sean Paul & Anne-Marie),5,2017-02-11,Clean Bandit,Global,top200,3127587
Shape of You,1,2017-02-12,Ed Sheeran,Global,top200,6845116
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-12,"ZAYN, Taylor Swift",Global,top200,3965956
Despacito (Featuring Daddy Yankee),3,2017-02-12,Luis Fonsi,Global,top200,3557478
Paris,4,2017-02-12,The Chainsmokers,Global,top200,3540879
Castle on the Hill,5,2017-02-12,Ed Sheeran,Global,top200,2680324
Shape of You,1,2017-02-13,Ed Sheeran,Global,top200,7344569
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-13,"ZAYN, Taylor Swift",Global,top200,4271266
Paris,3,2017-02-13,The Chainsmokers,Global,top200,3721861
Despacito (Featuring Daddy Yankee),4,2017-02-13,Luis Fonsi,Global,top200,3588146
Castle on the Hill,5,2017-02-13,Ed Sheeran,Global,top200,2899315
Shape of You,1,2017-02-14,Ed Sheeran,Global,top200,7511927
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2,2017-02-14,"ZAYN, Taylor Swift",Global,top200,4375267
Paris,3,2017-02-14,The Chainsmokers,Global,top200,3796956
